Input Sample	B cells memory	B cells naive	Dendritic cells activated	Dendritic cells resting	Eosinophils	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells activated	Mast cells resting	Monocytes	NK cells activated	NK cells resting	Neutrophils	Plasma cells	T cells CD4 memory activated	T cells CD4 memory resting	T cells CD4 naive	T cells CD8	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	P-value	Pearson Correlation	RMSE
11001807-TT-R	0	0.08702807155005897	0.06973703440962405	0.007646731738260315	0.14985867618742543	0	0	0.11433984566267229	0.036501833910557106	0.11828434912771359	0.0658359420868207	0.06733694316603574	0	0	0	0	0	0	0.1859665045856511	0	0	0.09746406757518067	0.31	0.28133880377984	0.9590970107663404
11001820-TT-R	0	0.10510707208748621	0.043952505991628636	0.01526463459816578	0.4195663264730297	0	0	0	0	0.05719549656605379	0.2012534617883608	0.020499788846466256	0.0051945875413641025	0	0.0001	0	0	0	0.09609300622222074	0.022931957169929063	0	0.012857206344611322	0.75	-0.0014	1.0690443868789468
11001866-TT-R	0	0.040174329223799876	0.19623606268068586	0	0.12453000182380367	0	0	0.08755379469827786	0	0.11726354339258428	0.13436036914611613	0.045485428186029214	0	0	0	0	0	0	0.17330111404458284	0.028837693635684804	0	0.05225766316843552	0.68	0.04328494877103985	1.0563833825215718
11001903-TT-R	0	0.07704722715851534	0.08135817096007228	0	0.2301022906066522	0	0	0.06914334288459952	0.041314632622083396	0.16096346165636324	0.15200472128250384	0.020322735137540793	0.013435932950817445	0	0.005788436471474387	0	0	0	0.11591755706998741	0.03260149119939018	0	0	0.73	0.022209117868562698	1.043163132702371
11001997-TT-R	0	0.09216407522124316	0.10545292781563718	0.025574629787959498	0.2797128167411196	0	0	0.08812431860552598	0.0038214171541651808	0.0306357086246288	0.10348360082319068	0.024373487564649205	0	0	0.05369260594314638	0	0	0	0.16294019982845767	0	0	0.030024211890276674	0.54	0.13149660508878955	1.0143285908394688
11002033-TT-R	0	0.07328587129117879	0.1016830919805869	0.016662807876587353	0.3487330706539535	0	0	0.05901862818659156	0	0.006616651694861853	0.16384236916780234	0.002743081526386017	0.012968214102393825	0	0.006586825604436267	0.017712291625713167	0.03391613186751	0	0.13698013271337137	0.0032810541869129654	0	0.015969777521714062	0.31	0.2800599370470442	0.9615478034848784
11002106-TT-R	0	0.050962640997748734	0.09793464443099364	0	0.16733060894597024	0	0	0.06657190008179249	0.16075354619344293	0.08329179151449197	0.19884244141591403	0.01219919528689988	0.02964538827177631	0	0	0	0	0	0.12005176107098138	0.0028195138233720078	0	0.009596567966616376	0.58	0.11054230958823724	1.0154605077471586
11002212-TT-R	0	0.08694301279686979	0.09457430408912221	0.0037281081563592415	0.3702703855707051	0	0	0.014207826851006612	0	0.08385036669456791	0.1866479779793026	0.013020632893828137	0	0	0.001177423002285427	0	0	0	0.11095171564093449	0.010143613951319455	0	0.024484632373698956	0.37	0.2530190236995573	0.9698446880539744
11003687-TT-R	0	0.08330559158522909	0.0536801373195786	0.0065716179890304175	0.27075498998242253	0	0	0.010022714670286455	0.0861306412411524	0.11712407185228133	0.15073120637110446	0.009597214082434382	0.006885545309660599	0	0	0	0	0	0.17390404669681725	0.006921994599911583	0	0.024370228300090988	0.44	0.17629345641123836	0.9998646717819156
11003704-TT-R	0	0.0890275002070767	0.06904542143375302	0.007670664470416271	0.44111269688854354	0	0	0.002239574478481277	0	0	0.2333889650099262	0.009513435076198893	0.004995767806533667	0	0	0	0	0	0.10120399712003046	0.04180197750904002	0	0	0.75	0.004708953761798031	1.0730011501741645
11004126-TT-R	0	0.06222395544774378	0.07964206799163448	0.01706529530339146	0.40864287924257875	0	0	0.05864203213079293	0	0.014622806446943552	0.18323364997570388	0.01499611558790386	0	0	0	0	0	0	0.11970696126346433	0.03769069880648131	0	0.003533537803361676	0.29	0.2996134017831615	0.9519246619554217
11004229-TT-R	0	0.0728571460883964	0.0891581876050255	0	0.34285892722160916	0	0	0.04315577588562785	0.01903018529348693	0.04030718837015317	0.14598983755763123	0.034675533295430175	0	0	0	0	0	0	0.14976687018557297	0.057312654510951674	0	0.004887693986114882	0.42	0.21133226184037104	0.9877038188098469
11004355-TT-R	0	0.11637546792848265	0.07307881475801095	0.0028208960579799596	0.2505616621308632	0	0	0.00689500175684884	0.09545651493936205	0.04637500132634913	0.25340921388158916	0	0.020744392396014683	0	0	0	0.005964554087222257	0	0.11890486033073547	0	0	0.00941362040654174	0.65	0.06729520517569128	1.044365743699265
