Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
11000689-TT-R	0.03325418440261791	0.04132348701387726	0.034138490578779095	0.04318701998259815	0	0.07811228254559267	0	0.06703056154923936	0	0	0.00632904307853087	0.004099365817794635	0	0.17916912931976847	0.11169298248129143	0.2511031891317398	0.007035102764814516	0	0	0.13220667538431574	0	0.011318485949040103	0.02	0.2715652503746419	0.9792600020564461
11000814-TT-R	0.007329606727592383	0.003994286127638467	0	0.007875085348753978	0.019325490189476158	0.028347578738582017	0.03826949929547464	0	0.009959140660017067	0	0.06312407530612978	0	0	0.33433735425104594	0.013584182808473198	0.1271245315744876	0	0	0	0.29047702034576567	0	0.05625214862656316	0	0.3663128940120819	0.9543286800361189
11000842-TT-R	0.025627529773507164	0	0.041056329612054764	0.144190184860086	0	0.12935211221395912	0.02322020253613107	0.08628717353863184	0.0255986555036712	0	0.01160038020429022	0	0	0.0870463535004925	0.12954608776561582	0.24271476435596384	0.0054201998065200605	0	0	0.03971926977607771	0	0.008620756552998671	0.08	0.09723469557249445	1.0521174009994285
11000843-TT-R	0.0617476665910939	0	0.05616686812047231	0.03593646826383805	0	0.23179098083305413	0.0017840082880774587	0.036777032903984104	0	0	0.01470156067249367	0.007149274233182456	0	0.09490963944093929	0.09513568998716697	0.2228335176463383	0.0065256066604132005	0	0.00519491499934806	0.04416315091933821	0.0008	0.08437416534549	0.06	0.1619025042712363	1.018586885842019
11000846-TT-R	0.02356118063449835	0	0.09092779168680819	0.12201630543577843	0	0.08056878066126788	0.005433721301277696	0.04650975207942005	0.012732326911189638	0	0.01826193729506538	0.0018995764809744394	0.004839443519150307	0.20254477256008882	0.10098818423156712	0.20344827942861282	0.016710542407144917	0	0	0.06955740536715593	0	0	0.03	0.1981382814876322	1.009192669095399
11001063-TT-R	0	0.0023989624921892747	0.1529246202523808	0.151213708103166	0	0.0656935271929975	0.13301524058146963	0.0900386679609213	0	0	0	0.07293728158007746	0.00245057736048428	0	0.052378860537465655	0.16128887852632248	0	0.04597997998530194	0	0.02177100068455853	0.03884784792379391	0.009060846818871208	0.03	0.22909973524655058	0.9949857328193032
11001807-TT-R	0	0.023233531017342088	0.00900340370791336	0.1649201111008995	0	0.05132568848961235	0.04836938296932262	0.08007783618250842	0.04134836810397297	0.003545598942082152	0	0.1009030734279822	0	0.06902053474087506	0.08952405341029673	0.2552847281822117	0.008384726042144118	0.009337385944080843	0	0.02621065437339027	0	0.019510923365365623	0.18	0.05396152918010717	1.0746333957893501
11001820-TT-R	0.02888415742726648	0	0.0018865456340487574	0	0	0.24786263500278505	0	0.04536641365382519	0.014649074884832705	0.007000845794162578	0	0.06484574123538113	0	0.3109201225466974	0.04994232317076942	0.15606538531996303	0	0	0	0.07257675533026828	0	0	0.06	0.15887711724168008	1.0380441312960325
11001866-TT-R	0.032066583574927914	0	0.05121508922346531	0.15390881487285488	0	0.3218524195431678	0.019479837797656968	0.03303483833680375	0.026194494054587174	0	0.007062484052099348	0.012588757846362441	0.012497517662796618	0.08500655085999623	0.09061614036148405	0.11194813101966093	0	0.005141694840641831	0	0.0373866459534948	0	0	0.07	0.11341049021260222	1.0543070383013662
11001903-TT-R	0	0.060476707411984465	0.017243995627224094	0.0914439678313253	0	0.15618465252840502	0	0.06545450367430333	0.05535322412244897	0	0	0.05758452567011458	0.0011642142765920115	0.11516432383662305	0.1327203942316209	0.2301512789912739	0	0	0.004651791728939269	0	0	0.012406420069145118	0.06	0.142777357199464	1.0362725735751932
11001997-TT-R	0.0030326107077373737	0.016641723697968486	0.046823946046235826	0.137632607581553	0	0.15182111401521392	0	0.06232237164939546	0.09722067626528542	0	0	0.05903633670677355	0	0.06777435084948728	0.07874221601772985	0.1772219091872924	0.02150820060367935	0	0.04431889826315568	0	0.018954249480999354	0.01694878892749306	0.08	0.09582201012352931	1.0498449325749721
11002033-TT-R	0.022048400148143323	0	0.034307498363638576	0.07551681837360344	0	0.24554206878036733	0.07381218286512735	0.04244710131966801	0.03396501401406988	0	0.005752125276116389	0.015924423769870338	0	0.059267468592058864	0.07080089673001937	0.16349410193403	0.018720147860772605	0	0	0.09631318930961025	0.01812373015788683	0.023964832505017433	0.07	0.10070653664111241	1.043476626882397
11002106-TT-R	0.019437149759507777	0	0.016799733387207513	0.03537701739380058	0	0.18941164072317912	0	0.013271433199534256	0.0016154539680021496	0	0.002700910996427892	0.0192929962194503	0	0.14018470893777352	0.10843427760025715	0.13852197788678214	0	0	0	0.24518117098485323	0	0.06977152894322439	0.07	0.11642149742839215	1.0609663637629636
11002212-TT-R	0.02413334863836496	0	0.02393412296033858	0.010458582106180845	0	0.19885234547921335	0.010222068565173362	0.0322836562115636	0.011071960097587598	0	0.035177129356000245	0.006966957939799785	0	0.24301302096159466	0.054268112867604565	0.2067149827803762	0	0	0	0.12133300107638025	0	0.021570710959822	0.15	0.06273158582829294	1.0718739982102687
11003687-TT-R	0	0.003562653911029861	0.054201138288722674	0.09590178699006159	0	0.08581859243030046	0.06245895744351618	0.04047734685406425	0.0002	0	0.050499984052879546	0.0029398491875887735	0	0.10929273638932775	0.0915536865130507	0.18439695672727052	0	0	0	0.17453874818510948	0	0.04415283659953911	0.07	0.1305432977675248	1.0371028556565718
11003704-TT-R	0.006729136848868457	0	0.04904803769497354	0.13061422533583425	0	0.08247810715952592	0	0.027954129036061683	0.08738913089043064	0	0	0	0.007364314775236263	0.010508740026916904	0.12174040980399262	0.31255360603046695	0.0819102739971809	0	0	0.08170988840051187	0	0	0.07	0.10896821994179773	1.0436113253513615
